PMC,X,Y,Z
6,-0.13576,0.13101,0.24545
7,-0.14206,0.13302,0.24553
8,-0.14194,0.13302,0.24552
9,-0.14181,0.13302,0.24552
10,-0.14169,0.13302,0.2455
11,-0.14156,0.13301,0.2455
12,-0.14143,0.13301,0.24549
13,-0.1413,0.13301,0.24548
14,-0.14118,0.13301,0.24547
15,-0.14105,0.13301,0.24547
16,-0.14093,0.13301,0.24546
17,-0.1408,0.13301,0.24545
18,-0.14068,0.13301,0.24545
19,-0.14055,0.13301,0.24544
20,-0.14042,0.13301,0.24543
21,-0.14029,0.13301,0.24542
22,-0.14017,0.13301,0.24542
23,-0.14004,0.13301,0.24541
24,-0.13992,0.13301,0.2454
25,-0.13979,0.13301,0.2454
26,-0.13967,0.13301,0.24539
27,-0.13954,0.13301,0.24539
28,-0.13942,0.13301,0.2454
29,-0.13929,0.13301,0.24542
30,-0.13917,0.133,0.24543
31,-0.13904,0.133,0.24544
32,-0.13892,0.133,0.24546
33,-0.13878,0.133,0.24547
34,-0.13866,0.133,0.24548
35,-0.13853,0.133,0.2455
36,-0.13841,0.133,0.2455
37,-0.13828,0.133,0.2455
38,-0.13816,0.133,0.2455
39,-0.13803,0.133,0.24549
40,-0.13791,0.133,0.24549
41,-0.13778,0.133,0.24548
42,-0.13766,0.133,0.24548
43,-0.13752,0.133,0.24548
44,-0.1374,0.133,0.24547
45,-0.13727,0.133,0.24547
46,-0.13715,0.133,0.24546
47,-0.13702,0.133,0.24547
48,-0.1369,0.13299,0.24548
49,-0.13677,0.13299,0.2455
50,-0.13665,0.13299,0.24552
51,-0.13652,0.13299,0.24554
52,-0.1364,0.13299,0.24556
53,-0.13626,0.13299,0.24557
54,-0.13614,0.13299,0.24559
55,-0.13601,0.13299,0.24561
56,-0.13589,0.13299,0.24563
57,-0.13576,0.13299,0.24562
58,-0.13564,0.13299,0.24562
59,-0.13551,0.13299,0.24561
60,-0.13539,0.13299,0.2456
61,-0.13526,0.13299,0.24559
62,-0.13513,0.13299,0.24558
63,-0.135,0.13299,0.24557
64,-0.13488,0.13299,0.24556
65,-0.13475,0.13299,0.24555
66,-0.13462,0.13298,0.24554
67,-0.1345,0.13298,0.24554
68,-0.13438,0.13298,0.24554
69,-0.13425,0.13298,0.24554
70,-0.13413,0.13298,0.24555
71,-0.13399,0.13298,0.24555
72,-0.13387,0.13298,0.24556
73,-0.13374,0.13298,0.24556
74,-0.13362,0.13298,0.24557
75,-0.13349,0.13298,0.24557
76,-0.13337,0.13298,0.24558
77,-0.13324,0.13298,0.24557
78,-0.13312,0.13298,0.24555
79,-0.13299,0.13298,0.24553
80,-0.13287,0.13298,0.24551
81,-0.13273,0.13298,0.2455
82,-0.13261,0.13298,0.2455
83,-0.13248,0.13298,0.2455
84,-0.13236,0.13297,0.2455
85,-0.13223,0.13297,0.2455
86,-0.13211,0.13297,0.24549
87,-0.13198,0.13297,0.24549
88,-0.13186,0.13297,0.24549
89,-0.13173,0.13297,0.2455
90,-0.1316,0.13297,0.24551
91,-0.13147,0.13297,0.24551
92,-0.13135,0.13297,0.24552
93,-0.13122,0.13297,0.24553
94,-0.13109,0.13297,0.24553
95,-0.13097,0.13297,0.24554
96,-0.13085,0.13297,0.24555
97,-0.13071,0.13297,0.24555
98,-0.13059,0.13297,0.24556
99,-0.13046,0.13297,0.24557
100,-0.13034,0.13297,0.24557
101,-0.13021,0.13297,0.24558
102,-0.13009,0.13296,0.24557
103,-0.12996,0.13296,0.24553
104,-0.12984,0.13296,0.24549
105,-0.12971,0.13296,0.24545
106,-0.12959,0.13296,0.24542
107,-0.12946,0.13296,0.2454
108,-0.12946,0.13283,0.24535
109,-0.12959,0.13283,0.2454
110,-0.12971,0.13283,0.24543
111,-0.12984,0.13283,0.24547
112,-0.12996,0.13283,0.24551
113,-0.13009,0.13283,0.24555
114,-0.13021,0.13283,0.24558
115,-0.13034,0.13283,0.24558
116,-0.13046,0.13283,0.24557
117,-0.13059,0.13283,0.24556
118,-0.13072,0.13283,0.24556
